Level,Heading,File,Index
1,About this guide,APG110,1
1,Glossary,APG110,2
1,Introduction,APG110,3
1,Chapter 1 - Capital management,APG110,4
2,Minimum capital requirements,APG110,5
2,Reductions in capital,APG110,6
2,Regulatory capital buffers and management targets,APG110,7
2,Use of regulatory capital buffers in stress,APG110,8
2,Capital distributions,APG110,9
1,Chapter 2 - Countercyclical capital buffer,APG110,10
2,Determining the CCyB,APG110,11
1,Chapter 3 - Simplified requirements,APG110,12
2,Simplified requirements,APG110,13
1,Chapter 4 - IRB Capital floor,APG110,14
1,Chapter 5 - Leverage ratio,APG110,15
2,On-balance sheet exposures,APG110,16
2,Derivative exposures,APG110,17
3,Treatment of related collateral,APG110,18
3,Treatment of clearing services,APG110,19
3,Additional treatment for written credit derivatives,APG110,20
2,SFT exposures,APG110,21
1,About this guide,APG112,1
1,Glossary,APG112,2
1,Introduction,APG112,3
1,Chapter 1 - Property exposures,APG112,4
2,Standard loans,APG112,5
2,Non-standard loans,APG112,6
2,Residential property,APG112,7
2,Commercial property,APG112,8
2,"Land acquisition, development and construction",APG112,9
1,Chapter 2 - Non-property exposures,APG112,10
2,Sovereign exposures,APG112,11
2,Domestic public sector entities,APG112,12
2,Covered bonds,APG112,13
2,Corporate exposures,APG112,14
2,Specialised lending,APG112,15
3,Project finance,APG112,16
3,Object finance,APG112,17
3,Commodities finance,APG112,18
2,Retail exposures,APG112,19
3,"'Buy now, pay later' products",APG112,20
3,Motor vehicle exposures,APG112,21
2,Subordinated debt,APG112,22
2,Equity,APG112,23
2,Leases,APG112,24
2,Exposures through a third party,APG112,25
2,Exposures with currency mismatch,APG112,26
1,Chapter 3 - Off-balance sheet commitments,APG112,27
2,Defining and measuring commitments,APG112,28
2,Credit conversion factors,APG112,29
3,Direct credit substitutes,APG112,30
3,Sale and repurchase agreements and asset sales with recourse,APG112,31
3,Lending of securities or posting of securities as collateral,APG112,32
3,"Forward asset purchases, forward deposits and partly paid shares and securities",APG112,33
3,Other off-balance sheet items that are credit substitutes,APG112,34
3,"Unsettled securities, commodities and foreign exchange transactions accounted for at settlement date",APG112,35
3,Other commitments with certain drawdown,APG112,36
3,Note issuance and revolving underwriting facilities,APG112,37
3,Performance-related contingencies,APG112,38
3,Other commitments,APG112,39
3,Short-term self-liquidating trade letters of credit arising from the movement of goods,APG112,40
3,Intraday limits,APG112,41
3,Irrevocable standby commitments under industry support arrangements,APG112,42
1,Chapter 4 - External credit ratings,APG112,43
2,Domestic and foreign currency exposures,APG112,44
2,Implicit government support,APG112,45
1,Chapter 5 - Credit risk mitigation,APG112,46
2,Collateralised transactions,APG112,47
2,Netting,APG112,48
2,Guarantees,APG112,49
2,Credit derivatives,APG112,50
1,Attachment A - Property exposures examples,APG112,51
1,Attachment B - SME treatment example,APG112,52
1,Attachment C - Summary of risk weights,APG112,53
1,About this guide,APG113,1
1,Glossary,APG113,2
1,Introduction,APG113,3
1,Chapter 1 - Governance and oversight,APG113,4
2,Model risk policy,APG113,5
2,Independent review,APG113,6
1,Chapter 2 - Asset classes,APG113,7
2,Corporate exposures,APG113,8
3,Income-producing real estate,APG113,9
3,Large corporate,APG113,10
3,SME corporate,APG113,11
3,Public sector entities,APG113,12
2,Retail exposures,APG113,13
3,Retail residential mortgage,APG113,14
3,Qualifying revolving retail,APG113,15
3,SME retail,APG113,16
